review,source,sentiment
"The infinity pool is nice and the plants are well kept, but the zoo is appalling. Animals like crocodiles and snakes are kept poorly.",TripAdvisor,0
"A beautiful mountain getaway with lots to do. The attractions, infinity pool, and food were great.",TripAdvisor,1
Unprofessional staff and management. Booked rooms were given to others despite prior confirmation.,TripAdvisor,-1
Avoid this place. Very poor customer service. Manager lacks soft skills.,TripAdvisor,-1
,,
Room was not clean upon arrival.,Agoda,-1
No WiFi available which was disappointing.,Agoda,-1
The pool was excellent.,Agoda,1
Staff were helpful.,Agoda,1
Air conditioning was not working properly.,Agoda,-1
Facilities need renovation.,Agoda,-1
Food quality was poor.,Agoda,-1
Great view and relaxing atmosphere.,Agoda,1
Average experience overall.,Agoda,0
Nice place but service is slow.,Agoda,0
Clean surroundings.,Agoda,1
Overpriced for the quality.,Agoda,-1
Enjoyed the stay.,Agoda,1
Too crowded.,Agoda,0
Friendly staff.,Agoda,1
Dirty bathroom.,Agoda,-1
Comfortable bed.,Agoda,1
Slow check-in.,Agoda,-1
Nice location.,Agoda,1
Limited amenities.,Agoda,0
Good for family.,Agoda,1
Not worth the price.,Agoda,-1
Peaceful place.,Agoda,1
Service needs improvement.,Agoda,0
Broken facilities.,Agoda,-1
Relaxing ambiance.,Agoda,1
Staff were rude.,Agoda,-1
Beautiful scenery.,Agoda,1
Food was okay.,Agoda,0
Poor hygiene.,Agoda,-1
Great for short stay.,Agoda,1
Needs maintenance.,Agoda,-1
Nice but expensive.,Agoda,0
Clean pool.,Agoda,1
Unorganized management.,Agoda,-1
Good experience.,Agoda,1
Average room.,Agoda,0
Bad smell in room.,Agoda,-1
Helpful service.,Agoda,1
Overcrowded area.,Agoda,0
Very relaxing.,Agoda,1
Low quality service.,Agoda,-1
Nice view.,Agoda,1
Needs improvement.,Agoda,0
Dirty sheets.,Agoda,-1
Good ambiance.,Agoda,1
Nothing special.,Agoda,0
Terrible service.,Agoda,-1
Excellent stay.,Agoda,1
Okay experience.,Agoda,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
